,id,genero,casado,edad,graduado,profesion,exp_laboral,nivel_gasto,tamanno_familia,anno_nacimiento,generacion,ingresos_anuales,provincia,encuentro_digital,gasto_medio_mensual_cuota,abandono,dias_como_cliente,camp_anno
2292,CLI2294,0,0,30,0,4,0,0,2,1994,3,27017,33,1.422,30,0,54,0.0
2293,CLI2295,0,0,55,0,7,2,0,2,1969,1,40595,10,0.622,30,1,109,0.0
2294,CLI2296,0,1,41,1,1,1,0,2,1983,3,67144,47,1.123,50,1,322,0.5
2295,CLI2297,1,0,47,1,6,2,0,2,1977,1,122750,31,15.215,50,0,237,0.0
2296,CLI2298,1,0,39,1,7,1,0,1,1985,3,26156,11,1.376,30,1,224,0.0
2297,CLI2299,0,1,55,1,0,2,0,1,1969,1,27028,20,11.305,30,1,210,0.0
2298,CLI2300,1,0,34,1,0,1,0,1,1990,3,29201,14,0.755,30,0,363,0.5
2299,CLI2301,0,1,32,0,4,1,2,2,1992,3,27206,26,1.031,30,0,591,4.0
2300,CLI2302,0,0,22,0,3,0,0,2,2002,2,22214,49,0.995,30,0,308,0.5
2301,CLI2303,1,1,73,1,7,2,1,2,1951,1,39625,31,1.111,50,0,487,3.0
2302,CLI2304,1,1,41,1,3,1,1,2,1983,3,43488,17,1.928,50,0,600,4.0
2303,CLI2305,1,1,57,1,0,2,1,2,1967,1,42824,25,0.564,50,0,573,4.0
2304,CLI2306,1,1,50,1,2,2,2,5,1974,1,21622,31,0.974,30,0,486,3.0
2305,CLI2307,0,0,30,1,3,0,0,6,1994,3,18934,0,1.859,30,0,86,0.0
2306,CLI2308,0,1,51,1,0,2,2,4,1973,1,127842,49,1.306,80,0,327,0.5
2307,CLI2309,0,1,47,0,5,2,0,1,1977,1,116531,12,1.756,120,0,245,0.0
2308,CLI2310,0,0,35,0,5,1,0,6,1989,3,31307,39,0.962,30,0,146,0.0
2309,CLI2311,1,1,96,1,8,2,0,4,1928,0,64455,0,0.818,80,1,136,0.0
2310,CLI2312,0,1,44,1,4,2,1,5,1980,1,51186,5,1.077,30,1,146,0.0
2311,CLI2313,1,0,65,1,0,2,0,2,1959,1,99301,48,1.619,50,0,459,1.0
2312,CLI2314,1,1,69,1,0,2,1,3,1955,1,70845,7,1.756,80,0,118,0.0
2313,CLI2315,1,0,25,0,8,0,0,8,1999,2,30042,15,2.754,30,0,187,0.0
2314,CLI2316,0,1,72,0,8,2,2,2,1952,1,49243,39,0.974,30,0,122,0.0
2315,CLI2317,1,0,52,1,0,2,0,1,1972,1,54232,28,1.052,50,1,261,0.0
2316,CLI2318,0,1,50,1,0,2,0,2,1974,1,115168,42,1.404,50,1,338,0.5
2317,CLI2319,1,1,87,0,8,2,0,1,1937,0,114506,48,1.424,120,0,294,0.0
2318,CLI2320,1,1,72,0,7,2,2,2,1952,1,68914,30,1.58,30,0,166,0.0
2319,CLI2321,0,0,42,1,3,2,0,2,1982,3,67598,1,0.663,50,0,223,0.0
2320,CLI2322,0,1,31,1,3,0,0,2,1993,3,31383,44,1.077,30,0,389,3.0
2321,CLI2323,1,0,22,0,3,0,0,3,2002,2,12889,9,2.927,30,0,356,0.5
2322,CLI2324,0,1,40,1,0,1,0,2,1984,3,72345,36,1.491,50,1,149,0.0
2323,CLI2325,1,0,24,0,3,0,0,4,2000,2,12877,44,2.133,30,0,406,3.0
2324,CLI2326,1,1,62,0,3,2,2,4,1962,1,92594,47,15.215,30,0,51,0.0
2325,CLI2327,0,0,35,1,5,1,0,3,1989,3,27305,44,1.077,30,0,175,0.0
2326,CLI2328,0,0,36,1,3,1,0,1,1988,3,19148,9,0.916,30,0,586,4.0
2327,CLI2329,0,1,75,1,0,2,2,2,1949,1,107134,27,1.228,50,0,188,0.0
2328,CLI2330,1,1,58,1,0,2,1,3,1966,1,95528,27,1.15,80,1,102,0.0
2329,CLI2331,0,1,42,1,0,2,1,3,1982,3,44069,22,1.951,30,0,271,0.0
2330,CLI2332,1,0,24,0,3,0,0,5,2000,2,21180,9,2.202,30,0,476,3.0
2331,CLI2333,0,1,54,1,0,2,2,4,1970,1,106281,39,0.837,80,0,404,3.0
2332,CLI2334,1,1,47,1,0,2,0,2,1977,1,91759,45,15.215,50,0,321,0.5
2333,CLI2335,0,0,36,0,5,1,0,1,1988,3,30395,37,1.422,30,1,335,0.5
2334,CLI2336,0,1,63,1,0,2,2,2,1961,1,51058,26,0.72,50,0,498,3.0
2335,CLI2337,0,1,72,1,8,2,0,6,1952,1,80945,29,0.896,30,0,58,0.0
2336,CLI2338,0,1,55,1,0,2,2,1,1969,1,28522,36,1.502,30,0,500,1.0
2337,CLI2339,1,1,40,1,7,1,1,2,1984,3,56728,26,1.238,50,0,503,4.0
2338,CLI2340,0,1,47,0,4,2,1,7,1977,1,99207,33,0.564,30,0,50,0.0
2339,CLI2341,0,0,20,0,7,0,0,5,2004,2,17436,49,1.616,30,1,211,0.0
2340,CLI2342,0,1,47,0,4,2,1,2,1977,1,106421,43,0.994,120,0,346,0.5
2341,CLI2343,1,1,83,1,8,2,0,1,1941,0,52562,0,0.72,50,0,92,0.0
2342,CLI2344,0,1,30,0,6,0,2,4,1994,3,20736,33,1.629,30,0,472,3.0
2343,CLI2345,1,1,43,1,3,2,1,2,1981,3,33032,28,1.077,30,1,127,0.0
2344,CLI2346,1,1,67,1,0,2,0,2,1957,1,63987,23,1.561,50,1,215,0.0
2345,CLI2347,0,1,80,1,8,2,0,5,1944,0,83702,17,1.717,30,0,54,0.0
2346,CLI2348,1,0,29,1,4,0,0,5,1995,3,28161,27,2.306,30,0,151,0.0
2347,CLI2349,1,1,57,1,0,2,1,4,1967,1,44213,24,1.561,30,0,259,0.0
2348,CLI2350,1,1,55,1,0,2,0,1,1969,1,30312,27,1.346,30,0,343,0.5
2349,CLI2351,0,0,56,1,0,2,0,1,1968,1,89742,36,0.642,50,0,380,3.0
2350,CLI2352,1,1,55,0,0,2,1,3,1969,1,42513,4,1.482,30,0,140,0.0
2351,CLI2353,1,1,58,1,2,2,2,5,1966,1,107857,49,1.541,30,0,327,0.5
2352,CLI2354,1,1,44,0,2,2,0,4,1980,1,92809,25,1.813,30,0,370,3.0
2353,CLI2355,0,1,95,0,8,2,0,1,1929,0,69862,16,1.697,30,0,258,0.0
2354,CLI2356,0,0,29,0,3,0,0,3,1995,3,24452,32,2.237,30,0,267,0.0
2355,CLI2357,1,0,35,0,7,1,0,4,1989,3,22417,35,1.169,30,0,399,3.0
2356,CLI2358,0,0,24,0,3,0,0,3,2000,2,22809,20,3.03,30,0,493,3.0
2357,CLI2359,0,1,40,1,0,1,1,4,1984,3,92391,43,1.261,30,1,374,3.0
2358,CLI2360,0,1,68,1,0,2,1,3,1956,1,87363,13,1.502,80,1,152,0.0
2359,CLI2361,0,1,76,0,5,2,0,1,1948,1,112078,16,0.955,120,1,172,0.0
2360,CLI2362,0,0,43,1,7,2,0,2,1981,3,84092,18,0.709,50,1,336,0.5
2361,CLI2363,0,1,89,0,5,2,2,2,1935,0,122041,6,0.915,120,1,361,0.5
2362,CLI2364,0,0,31,0,3,0,0,2,1993,3,27344,47,0.962,30,0,175,0.0
2363,CLI2365,1,0,31,1,3,0,0,5,1993,3,27296,42,0.962,30,0,122,0.0
2364,CLI2366,1,0,57,1,7,2,0,5,1967,1,64637,46,1.267,30,1,283,0.0
2365,CLI2367,0,1,44,1,0,2,1,5,1980,1,123189,11,1.997,200,0,96,0.0
2366,CLI2368,1,0,75,1,8,2,0,1,1949,1,101103,12,1.326,50,0,526,1.0
2367,CLI2369,0,1,41,0,0,1,1,2,1983,3,106792,23,1.192,120,1,176,0.0
2368,CLI2370,1,0,29,0,6,0,0,5,1995,3,27532,29,1.65,30,0,555,4.0
2369,CLI2371,0,0,34,0,1,1,0,1,1990,3,26538,29,1.238,30,1,172,0.0
2370,CLI2372,0,1,75,1,8,2,0,2,1949,1,109062,3,1.697,50,0,466,1.0
2371,CLI2373,1,1,46,1,0,2,1,3,1978,1,109368,33,1.033,80,0,393,3.0
2372,CLI2374,0,1,62,1,0,2,1,6,1962,1,39363,3,1.561,30,0,256,0.0
2373,CLI2375,1,1,41,0,7,1,0,2,1983,3,40142,47,1.675,30,0,544,4.0
2374,CLI2376,1,1,64,1,0,2,0,1,1960,1,53727,30,1.365,50,0,49,0.0
2375,CLI2377,1,0,36,1,0,1,0,1,1988,3,18719,38,1.514,30,0,526,1.0
2376,CLI2378,0,0,34,0,1,1,0,1,1990,3,28542,20,0.801,30,1,263,0.0
2377,CLI2379,0,0,30,1,3,0,0,3,1994,3,24387,15,0.778,30,0,114,0.0
2378,CLI2380,1,0,28,0,3,0,0,4,1996,3,29260,48,2.202,30,0,501,4.0
2379,CLI2381,1,1,56,1,7,2,1,2,1968,1,123012,17,1.385,50,0,184,0.0
2380,CLI2382,1,1,41,0,4,1,1,3,1983,3,124112,17,1.422,200,1,353,0.5
2381,CLI2383,1,1,76,1,2,2,1,4,1948,1,53407,8,1.346,30,0,226,0.0
2382,CLI2384,0,1,50,0,5,2,0,1,1974,1,86655,32,1.639,120,0,291,0.0
2383,CLI2385,1,1,42,1,0,2,0,2,1982,3,93235,5,1.399,50,0,44,0.0
2384,CLI2386,1,1,56,1,0,2,1,4,1968,1,47970,46,1.737,30,0,143,0.0
2385,CLI2387,0,0,21,0,3,0,0,4,2003,2,21057,21,1.65,30,0,150,0.0
2386,CLI2388,0,0,35,1,3,1,0,3,1989,3,23815,25,1.951,30,1,126,0.0
2387,CLI2389,1,0,34,1,0,1,0,5,1990,3,25487,34,1.146,30,1,323,0.5
2388,CLI2390,1,0,21,0,3,0,0,3,2003,2,12685,49,2.513,30,1,110,0.0
2389,CLI2391,1,1,45,1,7,2,1,3,1979,1,40422,48,1.997,30,1,232,0.0
2390,CLI2392,0,0,43,0,7,2,0,6,1981,3,45705,29,1.169,30,0,433,3.0
2391,CLI2393,1,0,23,0,3,0,0,4,2001,2,18344,44,2.168,30,0,33,0.0
2392,CLI2394,0,0,33,0,3,1,0,1,1991,3,20464,16,2.043,30,0,426,3.0
2393,CLI2395,1,0,25,0,3,0,0,6,1999,2,23195,18,12.705,30,0,222,0.0
2394,CLI2396,1,1,72,0,7,2,1,2,1952,1,31409,3,0.955,30,0,263,0.0
2395,CLI2397,1,0,34,0,2,1,0,5,1990,3,26185,10,1.169,30,1,345,0.5
2396,CLI2398,0,1,81,1,8,2,0,1,1943,0,79330,1,1.326,50,0,508,1.0
2397,CLI2399,0,1,80,0,0,2,2,2,1944,0,50157,18,0.681,30,0,503,4.0
2398,CLI2400,1,1,46,1,5,2,0,2,1978,1,25243,17,1.6,30,1,236,0.0
2399,CLI2401,1,0,52,1,0,2,0,1,1972,1,100523,42,1.365,50,1,301,0.5
2400,CLI2402,0,0,21,0,3,0,0,5,2003,2,19194,34,2.892,30,0,359,0.5
2401,CLI2403,1,1,50,0,2,2,0,9,1974,1,56120,4,1.756,30,0,515,4.0
2402,CLI2404,0,0,28,0,6,0,0,7,1996,3,26538,14,3.099,30,0,412,3.0
2403,CLI2405,0,0,31,1,7,0,0,3,1993,3,26544,32,1.56,30,0,63,0.0
2404,CLI2406,0,1,44,1,0,2,1,2,1980,1,96424,14,1.905,50,1,189,0.0
2405,CLI2407,0,1,44,0,4,2,0,4,1980,1,63431,12,0.755,30,1,345,0.5
2406,CLI2408,0,0,33,1,5,1,0,1,1991,3,21472,48,1.031,30,0,462,3.0
2407,CLI2409,0,1,55,1,4,2,1,4,1969,1,52940,26,0.564,30,0,322,0.5
2408,CLI2410,1,0,29,1,3,0,0,2,1995,3,28904,17,3.065,30,0,49,0.0
2409,CLI2411,1,1,90,1,8,2,0,1,1934,0,63084,14,0.74,50,0,306,0.5
2410,CLI2412,1,1,36,1,3,1,0,2,1988,3,23399,22,0.939,30,0,370,3.0
2411,CLI2413,1,0,55,0,6,2,0,2,1969,1,67691,11,1.6,30,0,146,0.0
2412,CLI2414,1,1,91,0,8,2,0,1,1933,0,116273,34,0.681,120,1,214,0.0
2413,CLI2415,0,0,41,1,0,1,0,1,1983,3,39225,20,1.882,50,0,366,1.0
2414,CLI2416,1,1,41,1,0,1,1,2,1983,3,37727,30,0.755,50,0,434,3.0
2415,CLI2417,1,1,61,0,8,2,2,3,1963,1,24128,12,1.091,30,0,519,4.0
2416,CLI2418,1,1,67,1,0,2,0,2,1957,1,39212,46,1.639,50,0,445,1.0
2417,CLI2419,0,1,43,1,0,2,0,1,1981,3,24428,31,1.353,30,0,400,1.0
2418,CLI2420,1,1,44,1,0,2,0,2,1980,1,30265,26,1.376,30,0,156,0.0
2419,CLI2421,1,1,61,1,0,2,0,1,1963,1,46091,5,0.798,50,0,131,0.0
2420,CLI2422,1,1,55,1,3,2,1,1,1969,1,85117,31,0.681,50,1,380,3.0
2421,CLI2423,1,0,29,1,5,0,0,3,1995,3,24781,10,1.892,30,0,580,4.0
2422,CLI2424,0,0,58,1,0,2,0,1,1966,1,36359,48,0.896,50,1,272,0.0
2423,CLI2425,0,0,31,1,3,0,0,5,1993,3,25143,29,1.468,30,0,456,3.0
2424,CLI2426,0,0,35,1,0,1,0,3,1989,3,24361,27,1.031,30,0,543,4.0
2425,CLI2427,0,0,34,1,6,1,0,1,1990,3,22668,39,1.399,30,0,152,0.0
2426,CLI2428,1,0,33,0,3,1,0,4,1991,3,18785,24,1.675,30,0,167,0.0
2427,CLI2429,0,0,34,1,5,1,0,4,1990,3,25373,34,1.192,30,0,220,0.0
2428,CLI2430,1,1,52,1,0,2,0,1,1972,1,108285,19,1.658,50,0,330,0.5
2429,CLI2431,1,1,54,1,0,2,1,2,1970,1,66133,3,1.639,50,1,184,0.0
2430,CLI2432,1,1,41,1,2,1,2,3,1983,3,91567,3,0.893,30,0,173,0.0
2431,CLI2433,1,1,52,1,0,2,1,4,1972,1,127862,27,0.74,80,1,301,0.5
2432,CLI2434,1,1,57,1,2,2,2,2,1967,1,72399,44,1.287,50,0,470,1.0
2433,CLI2435,0,0,22,0,7,0,0,7,2002,2,12276,23,2.409,30,1,115,0.0
2434,CLI2436,1,1,87,0,8,2,2,2,1937,0,59031,14,1.385,30,0,259,0.0
2435,CLI2437,1,1,52,0,2,2,2,6,1972,1,43801,21,1.189,30,0,317,0.5
2436,CLI2438,0,0,22,1,3,0,0,4,2002,2,14710,31,1.029,30,0,75,0.0
2437,CLI2439,1,0,25,0,3,0,0,4,1999,2,28971,11,2.03,30,0,363,0.5
2438,CLI2440,0,0,32,0,4,1,0,4,1992,3,21150,22,1.215,30,0,586,4.0
2439,CLI2441,0,0,36,1,4,1,0,1,1988,3,23241,22,1.583,30,0,288,0.0
2440,CLI2442,1,0,23,0,3,0,0,4,2001,2,22232,49,10.635,30,0,505,4.0
2441,CLI2443,1,0,20,0,3,0,0,4,2004,2,22275,38,2.271,30,0,490,3.0
2442,CLI2444,1,1,77,1,8,2,2,2,1947,1,51648,8,0.955,50,1,193,0.0
2443,CLI2445,0,1,62,1,0,2,1,2,1962,1,53110,35,0.857,50,0,594,4.0
2444,CLI2446,1,1,46,1,0,2,1,2,1978,1,53937,20,0.72,50,0,187,0.0
2445,CLI2447,0,0,31,0,3,0,0,2,1993,3,25822,37,1.1,30,0,347,0.5
2446,CLI2448,1,1,45,1,2,2,2,4,1979,1,45652,18,1.215,30,1,397,3.0
2447,CLI2449,1,1,89,1,8,2,0,1,1935,0,70774,32,1.6,50,0,330,0.5
2448,CLI2450,1,0,33,1,0,1,0,2,1991,3,21422,46,1.997,30,0,366,3.0
2449,CLI2451,1,1,58,0,8,2,0,2,1966,1,67847,20,0.896,30,0,447,3.0
2450,CLI2452,1,0,29,1,2,0,0,4,1995,3,29051,33,1.995,30,0,567,4.0
2451,CLI2453,1,1,56,1,0,2,0,3,1968,1,128924,10,1.502,80,0,266,0.0
2452,CLI2454,1,0,21,0,0,0,0,7,2003,2,23186,8,2.616,30,0,37,0.0
2453,CLI2455,1,1,83,1,8,2,2,2,1941,0,82623,29,0.876,50,1,355,0.5
2454,CLI2456,0,1,56,1,4,2,0,1,1968,1,107923,0,0.7,50,0,255,0.0
2455,CLI2457,0,1,77,1,1,2,0,2,1947,1,47692,42,1.072,50,0,195,0.0
2456,CLI2458,0,0,42,1,5,2,0,1,1982,3,33538,25,0.663,30,1,299,0.0
2457,CLI2459,0,0,23,0,3,0,0,4,2001,2,20061,25,1.236,30,0,600,4.0
2458,CLI2460,1,1,88,0,8,2,0,1,1936,0,55867,17,1.424,30,1,276,0.0
2459,CLI2461,0,1,21,0,0,0,2,2,2003,2,22168,43,2.616,30,1,189,0.0
2460,CLI2462,1,0,36,0,7,1,0,1,1988,3,26041,23,1.813,30,1,226,0.0
2461,CLI2463,1,1,53,1,7,2,1,6,1971,1,26365,24,1.619,30,0,401,3.0
2462,CLI2464,0,0,36,0,3,1,0,3,1988,3,18103,25,1.261,30,0,523,4.0
2463,CLI2465,0,0,36,1,4,1,0,3,1988,3,26450,15,0.893,30,0,538,4.0
2464,CLI2466,0,0,34,0,3,1,0,4,1990,3,18322,28,1.629,30,0,148,0.0
2465,CLI2467,0,1,53,1,0,2,1,2,1971,1,60718,40,1.424,50,0,73,0.0
2466,CLI2468,1,1,54,0,4,2,1,8,1970,1,108275,30,1.737,30,0,576,4.0
2467,CLI2469,0,1,42,0,0,2,0,1,1982,3,114495,22,1.813,120,0,215,0.0
2468,CLI2470,0,0,43,1,0,2,0,1,1981,3,92032,22,0.709,50,0,593,4.0
2469,CLI2471,0,1,51,1,7,2,1,2,1973,1,53521,0,1.17,50,1,346,0.5
2470,CLI2472,1,1,45,1,0,2,1,2,1979,1,67910,38,1.882,50,0,392,3.0
2471,CLI2473,0,1,34,0,0,1,2,3,1990,3,27009,0,0.847,30,1,172,0.0
2472,CLI2474,1,1,41,1,7,1,1,2,1983,3,42746,17,1.813,50,0,114,0.0
2473,CLI2475,0,1,64,0,4,2,0,1,1960,1,30689,1,1.58,30,0,75,0.0
2474,CLI2476,0,1,54,1,4,2,1,2,1970,1,111978,45,0.583,50,0,455,3.0
2475,CLI2477,0,1,52,0,6,2,0,1,1972,1,64995,28,1.287,30,0,396,3.0
2476,CLI2478,1,0,33,1,3,1,0,4,1991,3,30300,45,1.445,30,0,241,0.0
2477,CLI2479,1,0,45,1,7,2,0,1,1979,1,82321,4,1.077,120,0,199,0.0
2478,CLI2480,0,1,36,1,5,1,0,2,1988,3,23231,2,1.974,30,0,192,0.0
2479,CLI2481,1,0,36,0,3,1,0,4,1988,3,23673,28,1.514,30,0,228,0.0
2480,CLI2482,1,0,30,1,3,0,0,1,1994,3,31245,38,1.1,30,0,51,0.0
2481,CLI2483,1,1,50,0,5,2,0,2,1974,1,31993,16,0.896,30,0,345,0.5
2482,CLI2484,0,1,50,1,1,2,0,1,1974,1,54083,23,0.661,50,1,221,0.0
2483,CLI2485,0,0,39,0,6,1,0,1,1985,3,20053,5,0.985,30,0,200,0.0
2484,CLI2486,0,0,23,0,7,0,0,4,2001,2,14956,11,1.305,30,0,576,4.0
2485,CLI2487,0,0,40,1,0,1,0,2,1984,3,95665,36,2.066,50,0,36,0.0
2486,CLI2488,0,1,62,0,8,2,0,1,1962,1,61006,13,0.935,30,1,329,0.5
2487,CLI2489,0,0,31,0,0,0,0,5,1993,3,25018,40,1.307,30,0,284,0.0
2488,CLI2490,0,1,98,0,8,2,2,2,1926,0,45655,49,1.482,30,1,372,3.0
2489,CLI2491,1,1,53,1,2,2,2,4,1971,1,23456,28,0.583,30,0,360,0.5
2490,CLI2492,1,1,52,0,7,2,2,5,1972,1,62984,0,1.306,30,0,595,4.0
2491,CLI2493,1,0,25,0,3,0,0,3,1999,2,29489,13,2.616,30,0,194,0.0
2492,CLI2494,0,0,20,0,3,0,0,4,2004,2,16508,40,2.547,30,0,82,0.0
2493,CLI2495,1,1,64,1,8,2,2,2,1960,1,84498,47,1.091,50,0,466,3.0
2494,CLI2496,1,1,46,0,7,2,1,3,1978,1,95377,20,1.346,30,1,218,0.0
2495,CLI2497,1,0,24,0,3,0,0,3,2000,2,17345,45,2.202,30,1,338,0.5
2496,CLI2498,0,1,55,1,0,2,0,1,1969,1,119603,12,1.013,50,0,367,3.0
2497,CLI2499,0,1,44,1,7,2,0,2,1980,1,116586,6,1.905,50,0,516,1.0
2498,CLI2500,1,1,80,0,2,2,2,2,1944,0,40578,43,1.228,30,0,490,3.0
2499,CLI2501,0,0,30,0,0,0,0,1,1994,3,20278,30,1.721,30,0,461,3.0
2500,CLI2502,1,1,44,1,0,2,1,3,1980,1,93551,29,1.905,30,0,451,3.0
2501,CLI2503,0,1,89,0,8,2,0,1,1935,0,81538,42,1.033,120,0,465,3.0
2502,CLI2504,1,1,41,1,0,1,1,3,1983,3,50248,40,1.054,30,0,167,0.0
2503,CLI2505,0,1,43,0,5,2,0,2,1981,3,68264,23,0.709,30,0,232,0.0
2504,CLI2506,1,1,91,0,8,2,2,3,1933,0,97276,8,0.798,30,0,567,4.0
2505,CLI2507,1,1,61,1,0,2,0,1,1963,1,70407,4,1.717,50,0,61,0.0
2506,CLI2508,1,1,56,1,5,2,0,3,1968,1,55683,28,1.111,80,0,318,0.5
2507,CLI2509,1,1,46,0,4,2,1,4,1978,1,34418,34,0.642,30,0,386,3.0
2508,CLI2510,1,1,30,1,0,0,0,4,1994,3,18924,16,0.985,30,0,534,4.0
2509,CLI2511,1,1,58,1,2,2,2,2,1966,1,25412,43,0.876,30,1,152,0.0
2510,CLI2512,0,1,44,1,4,2,1,7,1980,1,62101,48,0.87,30,0,402,3.0
2511,CLI2513,1,1,68,1,0,2,1,9,1956,1,61432,6,1.502,30,0,416,3.0
2512,CLI2514,1,0,23,0,3,0,0,5,2001,2,18056,16,1.374,30,0,591,4.0
2513,CLI2515,1,1,44,1,7,2,1,2,1980,1,64039,29,1.836,50,0,136,0.0
2514,CLI2516,1,0,30,0,3,0,0,3,1994,3,27884,36,1.376,30,0,410,3.0
2515,CLI2517,0,1,92,0,8,2,2,2,1932,0,103378,24,0.896,120,0,276,0.0
2516,CLI2518,1,0,29,0,5,0,0,1,1995,3,23482,16,1.167,30,0,338,0.5
2517,CLI2519,1,0,29,0,0,0,0,4,1995,3,29207,33,3.03,30,0,458,3.0
2518,CLI2520,1,0,36,1,7,1,0,1,1988,3,26564,30,1.951,30,0,143,0.0
2519,CLI2521,1,0,30,1,0,0,0,1,1994,3,30972,14,1.79,30,0,65,0.0
2520,CLI2522,0,1,51,0,7,2,1,5,1973,1,66090,48,0.603,30,0,291,0.0
2521,CLI2523,0,0,31,0,5,0,0,5,1993,3,20087,44,0.778,30,0,95,0.0
2522,CLI2524,0,0,28,0,3,0,0,3,1996,3,21833,49,2.789,30,0,368,3.0
2523,CLI2525,0,1,52,1,6,2,1,3,1972,1,57016,3,0.974,80,0,266,0.0
2524,CLI2526,0,0,35,0,0,1,0,4,1989,3,18705,5,0.962,30,0,257,0.0
2525,CLI2527,0,0,23,0,3,0,0,4,2001,2,13500,41,2.306,30,1,389,3.0
2526,CLI2528,1,1,80,1,8,2,2,4,1944,0,94738,32,1.697,80,0,519,1.0
2527,CLI2529,1,1,39,1,0,1,1,2,1985,3,22634,17,1.376,30,0,69,0.0
2528,CLI2530,1,0,57,1,0,2,0,1,1967,1,49054,38,0.955,50,0,285,0.0
2529,CLI2531,1,1,44,1,0,2,0,2,1980,1,32963,0,0.985,30,1,391,3.0
2530,CLI2532,1,0,34,1,3,1,0,1,1990,3,19449,26,0.939,30,1,363,0.5
2531,CLI2533,0,1,97,1,8,2,2,2,1927,0,123295,7,0.74,50,0,556,4.0
2532,CLI2534,0,0,43,0,8,2,0,1,1981,3,122199,37,1.307,120,1,322,0.5
2533,CLI2535,0,0,45,1,0,2,0,2,1979,1,91808,8,1.215,50,0,342,0.5
2534,CLI2536,0,1,80,1,0,2,1,2,1944,0,101514,49,1.346,50,1,311,0.5
2535,CLI2537,1,1,50,1,0,2,1,5,1974,1,26576,16,0.955,30,0,345,0.5
2536,CLI2538,1,1,45,0,7,2,0,4,1979,1,107513,22,1.284,30,0,576,4.0
2537,CLI2539,1,1,83,1,8,2,2,2,1941,0,31392,8,0.955,30,0,459,3.0
2538,CLI2540,1,0,43,1,7,2,0,2,1981,3,39086,31,0.709,50,0,433,3.0
2539,CLI2541,0,1,98,0,8,2,2,2,1926,0,97393,19,1.756,120,0,375,3.0
2540,CLI2542,1,1,50,1,5,2,0,1,1974,1,128573,19,0.661,50,1,195,0.0
2541,CLI2543,0,1,55,1,0,2,1,2,1969,1,63087,42,1.756,50,1,236,0.0
2542,CLI2544,1,1,47,0,3,2,2,2,1977,1,21880,30,1.072,30,0,547,4.0
2543,CLI2545,1,1,55,1,2,2,1,4,1969,1,22923,38,1.385,30,1,280,0.0
2544,CLI2546,0,0,58,0,7,2,0,1,1966,1,53664,30,1.267,30,0,458,3.0
2545,CLI2547,0,1,41,0,4,1,1,3,1983,3,117100,15,1.077,30,1,170,0.0
2546,CLI2548,1,0,44,1,0,2,0,2,1980,1,113823,37,1.008,120,0,523,4.0
2547,CLI2549,1,1,84,1,8,2,0,1,1940,0,40317,41,1.737,50,0,211,0.0
2548,CLI2550,0,1,30,1,1,0,1,2,1994,3,30598,21,1.054,30,1,168,0.0
2549,CLI2551,1,1,45,1,0,2,0,2,1979,1,118011,42,1.537,50,1,302,0.5
2550,CLI2552,1,1,55,1,7,2,0,2,1969,1,45889,0,1.658,50,0,61,0.0
2551,CLI2553,1,1,62,1,2,2,2,5,1962,1,40044,23,1.15,30,1,179,0.0
2552,CLI2554,1,1,31,0,7,0,1,2,1993,3,18828,4,0.893,30,1,162,0.0
2553,CLI2555,0,0,51,1,6,2,0,1,1973,1,111765,31,1.326,50,1,179,0.0
2554,CLI2556,0,1,79,1,5,2,1,2,1945,0,58330,0,1.326,50,0,43,0.0
2555,CLI2557,0,1,45,0,5,2,0,1,1979,1,94884,5,1.445,120,0,183,0.0
2556,CLI2558,1,0,31,0,0,0,0,2,1993,3,19456,40,1.261,30,1,258,0.0
2557,CLI2559,0,1,30,1,0,0,1,2,1994,3,24055,41,2.043,30,0,466,3.0
2558,CLI2560,0,0,35,0,3,1,0,4,1989,3,31204,46,0.87,30,0,275,0.0
2559,CLI2561,0,0,22,0,5,0,0,4,2002,2,23612,9,1.788,30,1,226,0.0
2560,CLI2562,1,1,50,1,2,2,0,5,1974,1,45199,27,0.622,30,0,584,4.0
2561,CLI2563,1,0,65,1,0,2,0,2,1959,1,100813,5,0.994,50,0,35,0.0
2562,CLI2564,0,0,51,1,6,2,0,1,1973,1,125979,7,1.326,50,0,186,0.0
2563,CLI2565,1,1,51,1,0,2,1,3,1973,1,22432,33,0.935,30,0,107,0.0
2564,CLI2566,1,0,45,1,0,2,0,2,1979,1,127370,20,1.008,50,0,45,0.0
2565,CLI2567,1,1,77,1,8,2,2,2,1947,1,112893,34,1.561,50,0,273,0.0
2566,CLI2568,0,1,28,1,1,0,0,1,1996,3,19099,6,1.098,30,1,146,0.0
2567,CLI2569,1,1,46,1,0,2,1,3,1978,1,95938,20,0.603,80,0,282,0.0
2568,CLI2570,0,1,66,0,4,2,2,9,1958,1,112542,13,1.639,30,1,323,0.5
2569,CLI2571,1,0,41,1,4,1,0,1,1983,3,51406,7,1.882,50,1,183,0.0
2570,CLI2572,1,0,20,0,3,0,0,7,2004,2,14211,29,11.325,30,0,231,0.0
2571,CLI2573,1,1,57,1,0,2,1,3,1967,1,57864,8,1.678,80,0,203,0.0
2572,CLI2574,0,0,35,0,0,1,0,4,1989,3,18631,37,0.755,30,0,292,0.0
2573,CLI2575,1,1,81,0,8,2,0,1,1943,0,98352,45,1.482,120,0,470,3.0
2574,CLI2576,1,1,32,1,3,1,1,2,1992,3,28475,3,1.491,30,1,319,0.5
